,cash,notionals,fee_incurred,hedge_notional,hedge_position,long_notionals,short_notionals,NAV
2001-05-04,10000809.862990532,0,0,0,0,0,0,10000809.862990532
2001-05-05,10001619.79156887,0,0,0,0,0,0,10001619.79156887
2001-05-06,10002429.785740325,0,0,0,0,0,0,10002429.785740325
2001-05-07,9987429.785740329,-1.949956640601158e-09,14999.999999999976,-5.167256258583429e-10,-7.41356741008257e-12,5000000.0,-5000000.000000002,9987429.785740327
2001-05-08,9213194.083443707,631227.0336069207,937.6517749797226,148196.86720182758,2121.9483816242073,5042558.506754186,-4411331.473147266,9992617.984252455
2001-05-09,8982462.62180342,848976.3865319155,448.766534888529,193349.5002349657,2799.326785713804,5032589.897602025,-4183613.5110701113,10024788.5085703
2001-05-10,8707972.219242616,1085917.1993359437,409.89005549084266,243744.4879371114,3484.553231895982,5056437.466406392,-3970520.267070449,10037633.906515671
2001-05-11,8307822.517115497,1450493.1539060357,662.8168380436659,315202.5521588207,4578.10543419688,5047495.105125506,-3597001.951219472,10073518.223180354
2001-05-12,8307822.517115497,1450493.1539060348,0,315202.5521588207,4578.10543419688,5047495.105125506,-3597001.951219472,10073518.223180354
2001-05-13,8307822.517115497,1450493.1539060348,0,315202.5521588207,4578.10543419688,5047495.105125506,-3597001.951219472,10073518.223180354
2001-05-14,8359652.6028245585,1539522.7393194307,88.62963075991031,320859.47414955957,4682.712928621073,5063250.166513654,-3523727.4271942247,10220034.816293549
2001-05-15,8291882.133217296,1726813.9714018216,267.50972217650553,328507.28945923015,4785.24810134772,5039054.582925042,-3312240.6115232217,10347203.394078348
2001-05-16,8208526.5085595185,1833348.4107035643,220.32148872616068,320489.87988565204,4673.908142219857,5066813.52317277,-3233465.112469206,10362364.799148735
2001-05-17,7889828.211153412,2174470.369137325,623.6321172674297,233700.0148590918,3296.1919581029906,5117086.1517897565,-2942615.782652433,10297998.595149828
2001-05-18,7776946.544368365,2357479.444798747,177.66828840876886,228452.9215731891,3215.382290789881,5179115.697476632,-2821636.2526778853,10362878.910740301
2001-05-19,7776946.544368365,2357479.444798747,0,228452.9215731891,3215.382290789881,5179115.697476632,-2821636.2526778853,10362878.910740301
2001-05-20,7776946.544368365,2357479.444798747,0,228452.9215731891,3215.382290789881,5179115.697476632,-2821636.2526778853,10362878.910740301
2001-05-21,7776946.544368365,2482936.726247604,0,229578.30046868153,3215.382290789881,5259476.8837403245,-2776540.1574927205,10489461.57108465
2001-05-22,7618682.8976409435,2644727.7001350587,442.20402223761585,213141.3134999439,2933.4063137556996,5259894.299070444,-2615166.5989353852,10476551.911275947
2001-05-23,7488068.558793427,2740065.598281916,178.47247479404783,222659.4711004346,3092.4926541727027,5271493.557361521,-2531427.959079603,10450793.628175778
2001-05-24,7511073.115460614,2668078.9687234326,44.60966606012035,227525.5227996867,3186.1855640880362,5223457.771355751,-2555378.802632318,10406677.606983734
2001-05-25,7456745.387994999,2897510.8094463823,177.64167582735104,163534.56973718156,2287.196779541001,5286229.732078917,-2388718.9226325345,10517790.767178562
2001-05-26,7456745.387994999,2897510.8094463823,0,163534.56973718156,2287.196779541001,5286229.732078917,-2388718.9226325345,10517790.767178562
2001-05-27,7456745.387994999,2897510.8094463823,0,163534.56973718156,2287.196779541001,5286229.732078917,-2388718.9226325345,10517790.767178562
2001-05-28,7456745.387994999,2897510.8094463823,0,163534.56973718156,2287.196779541001,5286229.732078917,-2388718.9226325345,10517790.767178562
2001-05-29,7472484.264865006,2876231.376132988,39.46902713288846,172193.40793407385,2436.2394905290403,5269133.62605057,-2392902.2499175835,10520909.048932068
